# model_name=pna_iterative_reverse_mp
# seed=1
# started_at=20251016-163007
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.6993634700775146,0.6962350606918335,0.2598187950524417,0.5178216099739075,0.0,0.0,0.4881424605846405,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
2,0.6795171499252319,0.6952011585235596,0.2598187950524417,0.5178216099739075,0.0,0.0,0.4881424605846405,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
3,0.6645469665527344,0.6941574215888977,0.2598187950524417,0.5178216099739075,0.0,0.0,0.4881424605846405,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
4,0.6521771550178528,0.6930517554283142,0.2256467802958055,0.5178216099739075,0.0,0.0,0.4881424605846405,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.0
5,0.6408448815345764,0.6916111707687378,0.2256467802958055,0.5178216099739075,0.0,0.0,0.4881424605846405,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.0
6,0.6307433247566223,0.6896331310272217,0.18127019296992908,0.5178216099739075,0.0,0.0,0.0,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.0
7,0.6203452944755554,0.6873732209205627,0.18127019296992908,0.5178216099739075,0.0,0.0,0.0,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.0
8,0.6114978194236755,0.6845962405204773,0.1436628909273581,0.10414128750562668,0.0,0.0,0.0,0.32131147384643555,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.0
9,0.6022394299507141,0.6811561584472656,0.13730880795893344,0.0,0.0,0.0,0.0,0.34648412466049194,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.009073724038898945
10,0.5934929251670837,0.6770887970924377,0.15266784077340906,0.0,0.0,0.0,0.0,0.35098251700401306,0.5287689566612244,0.65041184425354,0.0,0.0,0.0,0.14918293058872223
