# model_name=pna_baseline
# seed=2
# started_at=20251010-173103
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.698794960975647,0.6858692169189453,0.18406288461251694,0.0,0.5204984545707703,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
2,0.6784528493881226,0.6849422454833984,0.18406288461251694,0.0,0.5204984545707703,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
3,0.6637367606163025,0.6841804385185242,0.18406288461251694,0.0,0.5204984545707703,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
4,0.6525890231132507,0.6832314133644104,0.18406288461251694,0.0,0.5204984545707703,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
5,0.6427929401397705,0.6821079850196838,0.1833113729953766,0.0,0.5122318267822266,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
6,0.6339402794837952,0.6807346940040588,0.13674484328790146,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
7,0.6258346438407898,0.6789683699607849,0.13674484328790146,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
8,0.6183491945266724,0.6765506863594055,0.13674484328790146,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.37589216232299805,0.0,0.4778892695903778
9,0.6110897064208984,0.6734729409217834,0.14643967693502252,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.3176366090774536,0.0,0.6427879929542542
10,0.6039402484893799,0.6697864532470703,0.10229932990941135,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.0,0.29886394739151,0.0,0.17601683735847473
11,0.5968167781829834,0.6655817031860352,0.11098455472595313,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.2624574303627014,0.3033078610897064,0.0,0.004652966279536486
12,0.5903713703155518,0.66070556640625,0.08377956534968689,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.2624574303627014,0.007928641512989998,0.0,0.0007773027173243463
13,0.5834505558013916,0.6550478935241699,0.09183353683064607,0.0,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.355878084897995,0.0,0.0,0.003878975985571742
14,0.5768802165985107,0.648435652256012,0.10225435270165856,0.008350730873644352,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.45290789008140564,0.0,0.0,0.013127414509654045
15,0.5699546933174133,0.640970766544342,0.11741794578053734,0.07725898921489716,0.0,0.0,0.0,0.0,0.0,0.65041184425354,0.5146654844284058,0.0,0.0,0.04926108568906784
16,0.5637727975845337,0.6328927278518677,0.13963747464797713,0.22070251405239105,0.0,0.018789928406476974,0.0,0.0,0.0,0.6506262421607971,0.5471099019050598,0.0,0.0,0.09878363460302353
17,0.5570323467254639,0.6244611144065857,0.1648691730065779,0.33942559361457825,0.0,0.09123823046684265,0.0,0.0,0.0,0.6525198817253113,0.5723892450332642,0.0,0.0,0.15798795223236084
18,0.5504103899002075,0.6159403324127197,0.19177613475105978,0.44583219289779663,0.0,0.21409213542938232,0.0,0.0,0.0,0.6558284163475037,0.5854942202568054,0.0,0.0,0.20829051733016968
19,0.5443028807640076,0.60701584815979,0.21320987018671902,0.5296686291694641,0.0,0.31025639176368713,0.0,0.0,0.0,0.6596305966377258,0.591291606426239,0.0,0.0,0.2544613480567932
20,0.5383443236351013,0.5971707105636597,0.2359561649235812,0.6039024591445923,0.0,0.41966426372528076,0.0,0.0,0.0,0.6661449074745178,0.5935033559799194,0.0,0.0,0.312302827835083
21,0.5322111248970032,0.5860723853111267,0.26120747346431017,0.6619915962219238,0.0,0.5615468621253967,0.0,0.0,0.0,0.6758757829666138,0.590763509273529,0.0,0.0053991517052054405,0.37770530581474304
22,0.5263230800628662,0.574157178401947,0.27980822731148114,0.6853468418121338,0.0,0.6529157161712646,0.0,0.0,0.0,0.6835706233978271,0.583414614200592,0.0,0.035700723528862,0.4369419813156128
23,0.52071613073349,0.563514769077301,0.29322403940287506,0.6987951397895813,0.0,0.6976858973503113,0.0,0.0,0.0,0.6856698393821716,0.5720040202140808,0.0,0.10325887799263,0.46805065870285034
24,0.5147974491119385,0.5558774471282959,0.3029945343732834,0.7081922888755798,0.0,0.711013674736023,0.0,0.0,0.0,0.6878286004066467,0.5740291476249695,0.0,0.16778285801410675,0.4840933084487915
25,0.5096692442893982,0.5502855777740479,0.3071192435242913,0.6979071497917175,0.0,0.7138341665267944,0.0,0.0,0.0,0.6899123191833496,0.5744895935058594,0.0,0.21377183496952057,0.48839661478996277
26,0.5049808025360107,0.5447453260421753,0.30990115349942987,0.6934490203857422,0.0,0.7191283106803894,0.0,0.0,0.0,0.6890773773193359,0.5726548433303833,0.0,0.23983877897262573,0.4947643578052521
27,0.49985256791114807,0.5381098389625549,0.3134732734073292,0.6940451860427856,0.0,0.7243791222572327,0.0,0.0,0.0,0.6879949569702148,0.5623554587364197,0.0,0.2711753249168396,0.5082559585571289
28,0.49486181139945984,0.5317626595497131,0.3165957033634186,0.6946408152580261,0.0,0.7250842452049255,0.0,0.0,0.0,0.6888865828514099,0.5553876161575317,0.0,0.30295249819755554,0.5156009793281555
29,0.4903896450996399,0.5255258679389954,0.3195799399505962,0.6979071497917175,0.0,0.725391149520874,0.0,0.0,0.0,0.6898871660232544,0.5494505167007446,0.0,0.33479073643684387,0.5179526209831238
30,0.4862801730632782,0.5191795825958252,0.32406516042961314,0.7148630619049072,0.0,0.725391149520874,0.0,0.0,0.0043290043249726295,0.6860246062278748,0.5421310663223267,0.0,0.37041524052619934,0.5215626358985901
31,0.4818902313709259,0.5112993717193604,0.33661882765591145,0.7921501994132996,0.0,0.7316255569458008,0.0,0.0,0.019285714253783226,0.6861330270767212,0.5360730290412903,0.0,0.41393446922302246,0.5236051082611084
32,0.47801148891448975,0.5023713707923889,0.35885240069844504,0.8988072276115417,0.0,0.7994591593742371,0.0,0.0,0.06271777302026749,0.6828324198722839,0.5243533253669739,0.0,0.4457077383995056,0.5334987640380859
33,0.4745670557022095,0.4938196837902069,0.3801921931180087,0.9706887006759644,0.0,0.8955524563789368,0.0,0.0,0.09270620346069336,0.6834030747413635,0.5135007500648499,0.0,0.46525847911834717,0.5610044598579407
34,0.4709170460700989,0.4870084524154663,0.3912456821311604,0.9877983927726746,0.0,0.9436885714530945,0.0,0.0,0.13350871205329895,0.6737196445465088,0.50957852602005,0.0,0.48174387216567993,0.5736647844314575
35,0.4673692584037781,0.481657475233078,0.43030007860877295,0.9942013621330261,0.0,0.9526110291481018,0.0,0.0,0.16340917348861694,0.669559895992279,0.5073760747909546,0.365517258644104,0.4970477223396301,0.58357834815979
36,0.4643581509590149,0.478030800819397,0.4309210723096674,0.9961416721343994,0.0,0.9549648761749268,0.0,0.0,0.1746031641960144,0.6674202084541321,0.5014649033546448,0.365517258644104,0.5004018545150757,0.5796178579330444
37,0.46150997281074524,0.475340873003006,0.43009013073010877,0.997372567653656,0.0,0.9573999047279358,0.0,0.0,0.17360888421535492,0.6660773158073425,0.49975505471229553,0.365517258644104,0.49785637855529785,0.57340407371521
38,0.45814448595046997,0.47400331497192383,0.4262901503931392,0.998249888420105,0.0,0.9580509662628174,0.0,0.0,0.1555340439081192,0.6676583886146545,0.5025590658187866,0.365517258644104,0.4830209016799927,0.5586011409759521
39,0.4558059573173523,0.4733942151069641,0.42288559810681775,0.998249888420105,0.0,0.9584173560142517,0.0,0.0,0.1447196751832962,0.6767061352729797,0.5113609433174133,0.365517258644104,0.46179497241973877,0.5349753499031067
40,0.45342570543289185,0.47375038266181946,0.4164190915497867,0.9975481033325195,0.0,0.958608090877533,0.0,0.0,0.11634904146194458,0.6787194609642029,0.5132954120635986,0.38294243812561035,0.4336661696434021,0.49948129057884216
41,0.4513810873031616,0.4754355549812317,0.4098489677364176,0.9970212578773499,0.0,0.959295928478241,0.0,0.0,0.08173076808452606,0.6785324811935425,0.5184316039085388,0.44078946113586426,0.3784920573234558,0.4540450870990753
42,0.44924286007881165,0.47628700733184814,0.4053710831159895,0.9959656596183777,0.0,0.9582950472831726,0.0,0.0,0.06191303953528404,0.6766933798789978,0.5324466824531555,0.45465636253356934,0.35514596104621887,0.42396578192710876
43,0.4471431076526642,0.47665560245513916,0.4009884497658773,0.9956132769584656,0.0,0.9586473107337952,0.0,0.0,0.04978961870074272,0.6792452931404114,0.5382537841796875,0.4595469534397125,0.3343730568885803,0.395403653383255
44,0.44534721970558167,0.4786079525947571,0.390200569040396,0.9940246343612671,0.0,0.9585558772087097,0.0,0.0,0.02699822373688221,0.6734653115272522,0.5457761883735657,0.466292142868042,0.287564754486084,0.3395291268825531
45,0.44279706478118896,0.4838807284832001,0.369636562356556,0.9933169484138489,0.0,0.9578246474266052,0.0,0.0,0.006486486177891493,0.6648501753807068,0.5580899119377136,0.4691753387451172,0.17628541588783264,0.2399732619524002
46,0.44102975726127625,0.4867125451564789,0.36642236601222644,0.9911879301071167,0.0,0.954995334148407,0.0,0.0,0.005765765905380249,0.6643000245094299,0.5695176124572754,0.48403626680374146,0.1540645956993103,0.20677849650382996
47,0.44055700302124023,0.49202778935432434,0.3557002087420022,0.988156259059906,0.0,0.9518796801567078,0.0,0.0,0.002168413484469056,0.656527042388916,0.5807187557220459,0.4910505712032318,0.1031833067536354,0.13901826739311218
48,0.43859174847602844,0.4955526292324066,0.35054689103906805,0.9870819449424744,0.0,0.9504504799842834,0.0,0.0,0.0,0.6560882925987244,0.5877754092216492,0.5003814101219177,0.0729166716337204,0.10132159292697906
49,0.4371641278266907,0.49760064482688904,0.34906860102306714,0.9867233037948608,0.0,0.9503572583198547,0.0,0.0,0.0,0.655224621295929,0.5885977745056152,0.5121495127677917,0.06287425011396408,0.08382789045572281
50,0.43626701831817627,0.4947403073310852,0.3575074997815219,0.987440288066864,0.0,0.9510357975959778,0.0,0.0,0.0,0.657550573348999,0.5882148742675781,0.523949921131134,0.10383912175893784,0.12055192142724991
51,0.43500396609306335,0.5011153817176819,0.34843424131924455,0.9843860864639282,0.0,0.9493070244789124,0.0,0.0,0.0,0.6531805992126465,0.5865713357925415,0.5318918824195862,0.06142321601510048,0.06601651012897491
52,0.43398067355155945,0.5039637088775635,0.35083959928967734,0.9794971942901611,0.0,0.9430270195007324,0.0,0.0,0.0,0.6537659168243408,0.5872776508331299,0.5452688932418823,0.07723728567361832,0.07316163182258606
53,0.4331163465976715,0.5115336775779724,0.3479480472478,0.9723518490791321,0.0,0.9324985146522522,0.0,0.0,0.0,0.6525704860687256,0.5843979716300964,0.5546995401382446,0.07073716074228287,0.060172997415065765
54,0.4315374195575714,0.5147602558135986,0.3454149876805869,0.970503568649292,0.0,0.9240254163742065,0.0,0.0,0.0,0.651936411857605,0.577346920967102,0.5498798489570618,0.07004471123218536,0.05582798644900322
