# model_name=pna_baseline
# seed=2
# started_at=20251023-131548
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.6951685547828674,0.690586507320404,0.15432440692728217,0.0,0.5204984545707703,0.0,0.0,0.32131147384643555,0.0,0.0,0.0,0.37589216232299805,0.4798663854598999,0.0
2,0.6714012622833252,0.6899170279502869,0.15467217293652621,0.0,0.513787567615509,0.0,0.0,0.32131147384643555,0.0,0.0,0.0,0.38642847537994385,0.4798663854598999,0.0
3,0.6572546362876892,0.689115583896637,0.15862347050146622,0.0,0.5080073475837708,0.0,0.0,0.32131147384643555,0.0,0.0,0.0,0.41602227091789246,0.4995170831680298,0.0
4,0.6451972126960754,0.6879985928535461,0.15274653922427783,0.0,0.5166202187538147,0.0,0.0,0.32131147384643555,0.0,0.0,0.0,0.417736291885376,0.42454394698143005,0.0
5,0.6342304348945618,0.6864443421363831,0.11597783728079362,0.0,0.5173437595367432,0.0,0.0,0.32131147384643555,0.0,0.0,0.0,0.43710097670555115,0.0,0.0
6,0.62470942735672,0.6842150092124939,0.10641323707320473,0.0,0.4837168753147125,0.0,0.0,0.32131147384643555,0.0,0.0,0.0,0.365517258644104,0.0,0.0
7,0.6157816648483276,0.6814196705818176,0.11830741979859093,0.0,0.13829490542411804,0.0,0.0,0.32131147384643555,0.0,0.47625797986984253,0.0,0.365517258644104,0.0,0.0
8,0.6073527932167053,0.677790641784668,0.12099167433652011,0.0,0.0,0.0,0.0,0.32131147384643555,0.0,0.6440796852111816,0.0,0.365517258644104,0.0,0.0
9,0.5996714234352112,0.6733071804046631,0.08964941176501187,0.0,0.0,0.0,0.0,0.32131147384643555,0.0,0.6648320555686951,0.0,0.0,0.0,0.0
10,0.5916630029678345,0.6681079268455505,0.1132935881614685,0.0,0.0,0.0,0.0,0.32131147384643555,0.0,0.6624605655670166,0.2624574303627014,0.0,0.0,0.0
11,0.5842348337173462,0.66207355260849,0.11516627127474005,0.0,0.0,0.0,0.0,0.3472042977809906,0.0,0.6571672558784485,0.2624574303627014,0.0,0.0,0.0
12,0.5773910284042358,0.6550110578536987,0.15198753638701004,0.0,0.0,0.0,0.0,0.38565176725387573,0.0,0.6582364439964294,0.2624574303627014,0.365517258644104,0.0,0.0
13,0.5706018209457397,0.6467649340629578,0.15220746404322033,0.0,0.0,0.006805292796343565,0.0,0.369743674993515,0.0,0.6620798110961914,0.2678185701370239,0.365517258644104,0.002317496808245778,0.0
14,0.563575804233551,0.6372127532958984,0.15995449166406284,0.0,0.0,0.11107130348682404,0.0,0.2682584226131439,0.0,0.6652421951293945,0.2823960781097412,0.365517258644104,0.06701415032148361,0.0
15,0.556919276714325,0.6264429688453674,0.16938303512605754,0.0,0.0,0.3242212235927582,0.0,0.011076923459768295,0.0,0.6663020253181458,0.2833588123321533,0.365517258644104,0.21273714303970337,0.0
16,0.5504043102264404,0.614806056022644,0.1983396710446951,0.002791346749290824,0.0,0.5079185366630554,0.0,0.0,0.0,0.6672264337539673,0.2818709909915924,0.365517258644104,0.35641181468963623,0.0
17,0.5438156723976135,0.602385938167572,0.23085507344115863,0.12880025804042816,0.0,0.6428571343421936,0.0,0.0,0.0,0.6673679947853088,0.2838827669620514,0.365517258644104,0.45098039507865906,0.0
18,0.5377128720283508,0.5895986557006836,0.2688650227659805,0.40823134779930115,0.0,0.7035767436027527,0.0,0.0,0.006486486177891493,0.6667978763580322,0.2911854088306427,0.365517258644104,0.5157201290130615,0.0
19,0.5318513512611389,0.5766985416412354,0.2972620590166612,0.6210551857948303,0.0,0.7301510572433472,0.0,0.0,0.04737025499343872,0.6703956127166748,0.2985796630382538,0.365517258644104,0.5368136167526245,0.0
20,0.5260844826698303,0.5640904903411865,0.31799452751874924,0.6817135214805603,0.0,0.7591378092765808,0.0,0.0,0.11737553030252457,0.668464183807373,0.35194385051727295,0.365517258644104,0.5537876486778259,0.0
21,0.5205835700035095,0.5524145364761353,0.3333113419146023,0.6990908980369568,0.0,0.8061109781265259,0.0,0.0,0.1818746030330658,0.6684914231300354,0.3664740025997162,0.365517258644104,0.5734392404556274,0.005426357034593821
22,0.5151195526123047,0.541896402835846,0.34782273830337956,0.7260182499885559,0.0,0.8524238467216492,0.0,0.0,0.2079806625843048,0.6667371988296509,0.385315865278244,0.365517258644104,0.599006712436676,0.023050326853990555
23,0.5099245309829712,0.5327169299125671,0.360065332190557,0.7753530740737915,0.0,0.8887971043586731,0.0,0.0,0.1979835033416748,0.6652474999427795,0.39207923412323,0.365517258644104,0.6198708415031433,0.055870138108730316
24,0.5045219659805298,0.5238222479820251,0.37350392680276523,0.8452693223953247,0.0,0.9363601207733154,0.0,0.0,0.1666666567325592,0.6657408475875854,0.3915134370326996,0.365517258644104,0.644417941570282,0.09305761009454727
25,0.49952611327171326,0.515676736831665,0.3823270702903921,0.9115801453590393,0.0,0.9512700438499451,0.0,0.0,0.12557226419448853,0.6651661396026611,0.39309951663017273,0.365517258644104,0.6522243618965149,0.1411680430173874
26,0.495143860578537,0.5084373950958252,0.3940705358982086,0.9470198750495911,0.0,0.9538519382476807,0.0,0.0,0.10844975709915161,0.6654443740844727,0.40145981311798096,0.365517258644104,0.6555746793746948,0.23745819926261902
27,0.490482360124588,0.5023055672645569,0.40402813188054343,0.9512642025947571,0.0,0.9546299576759338,0.0,0.0,0.10197920352220535,0.6681997776031494,0.4109131395816803,0.365517258644104,0.6566138863563538,0.3351920247077942
28,0.48661473393440247,0.4966028928756714,0.41100443560968747,0.9649186134338379,0.0,0.9549916386604309,0.0,0.0,0.08046368509531021,0.6706424951553345,0.4123196005821228,0.365517258644104,0.6581845879554749,0.4140109121799469
29,0.4824969470500946,0.49173128604888916,0.41368347135457123,0.9754787683486938,0.0,0.9555596709251404,0.0,0.0,0.05422315001487732,0.6677505373954773,0.41197669506073,0.365517258644104,0.6589748859405518,0.46103721857070923
30,0.47811052203178406,0.48747140169143677,0.41585147279230034,0.9829424023628235,0.0,0.9565697312355042,0.0,0.0,0.03116147592663765,0.6596782207489014,0.4134109318256378,0.3704340159893036,0.6590009331703186,0.5011684894561768
31,0.4746614694595337,0.48366108536720276,0.4177347816188227,0.987440288066864,0.0,0.9564418196678162,0.0,0.0,0.022808270528912544,0.651276171207428,0.4167816638946533,0.3725321888923645,0.6597822308540344,0.5280199646949768
32,0.4713400900363922,0.4796431362628937,0.4270571172237396,0.9924308657646179,0.0,0.9575246572494507,0.0,0.0,0.0346045196056366,0.6359409093856812,0.4189375042915344,0.4232848286628723,0.6595625281333923,0.5753424763679504
