# model_name=pna_baseline
# seed=4
# started_at=20251016-161641
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.6947703957557678,0.6946443319320679,0.33070914582772687,0.5178216099739075,0.5204984545707703,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.0,0.4798663854598999,0.4778892695903778
2,0.6735696792602539,0.6935612559318542,0.33070914582772687,0.5178216099739075,0.5204984545707703,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.0,0.4798663854598999,0.4778892695903778
3,0.6579671502113342,0.6923766732215881,0.33070914582772687,0.5178216099739075,0.5204984545707703,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.0,0.4798663854598999,0.4778892695903778
4,0.6464294791221619,0.6906861662864685,0.28708492896773596,0.5178216099739075,0.5204984545707703,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.4778892695903778
5,0.6351996660232544,0.6883771419525146,0.28708492896773596,0.5178216099739075,0.5204984545707703,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.0,0.0,0.4778892695903778
6,0.6249715685844421,0.6852185130119324,0.28697372295639734,0.5178216099739075,0.5204984545707703,0.48688584566116333,0.0,0.0,0.5032039284706116,0.65041184425354,0.0,0.0,0.0,0.4778892695903778
7,0.6154383420944214,0.6809450387954712,0.1884286254644394,0.5178216099739075,0.2611907720565796,0.48688584566116333,0.0,0.0,0.0,0.65041184425354,0.0,0.0,0.0,0.15640480816364288
8,0.6063330769538879,0.6755122542381287,0.17879637263037942,0.5178216099739075,0.0,0.7985266447067261,0.0,0.0,0.0,0.65041184425354,0.0,0.0,0.0,0.0
9,0.5970908999443054,0.6693252921104431,0.1179652830416506,0.5825954079627991,0.0,0.06461086124181747,0.0,0.0,0.0,0.65041184425354,0.0,0.0,0.0,0.0
10,0.5890944004058838,0.6626645922660828,0.12816820589994843,0.8295434713363647,0.0,0.012815679423511028,0.0,0.0,0.0,0.5674911141395569,0.0,0.0,0.0,0.0
11,0.5814641714096069,0.6556247472763062,0.08462960967286066,0.4734029471874237,0.0,0.01655379869043827,0.0,0.0,0.0,0.44096896052360535,0.0,0.0,0.0,0.0
12,0.5739248394966125,0.6482143402099609,0.08279924975200133,0.46211710572242737,0.0,0.06461086124181747,0.0,0.0,0.0,0.3840637803077698,0.0,0.0,0.0,0.0
13,0.566541850566864,0.6404752731323242,0.10020581023259596,0.523600697517395,0.0,0.20374788343906403,0.0,0.0,0.0,0.37491533160209656,0.0,0.0,0.0,0.0
14,0.5593621134757996,0.6322813630104065,0.13494811139323495,0.6066212058067322,0.0,0.46373432874679565,0.0,0.0,0.0,0.40787214040756226,0.0,0.0,0.0,0.006201550364494324
