# model_name=pna_reverse_mp
# seed=0
# started_at=20251010-165236
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.7071260213851929,0.6909793019294739,0.22982064160433682,0.0,0.0,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.5104100108146667,0.37589216232299805,0.0,0.0
2,0.6880026459693909,0.6901823878288269,0.22982064160433682,0.0,0.0,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.5104100108146667,0.37589216232299805,0.0,0.0
3,0.674138069152832,0.6893982291221619,0.21509128538045016,0.0,0.0,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.34838709235191345,0.37589216232299805,0.0,0.0
4,0.6611055731773376,0.6885268688201904,0.18341973153027621,0.0,0.0,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
5,0.6503713130950928,0.687611997127533,0.18341973153027621,0.0,0.0,0.48688584566116333,0.0,0.0,0.5044271945953369,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
6,0.640781819820404,0.6864650845527649,0.18413865566253662,0.0,0.0,0.48688584566116333,0.0,0.0,0.5123353600502014,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
7,0.6318788528442383,0.6852085590362549,0.17731287262656473,0.0,0.0,0.4756871163845062,0.0,0.0,0.4484504759311676,0.65041184425354,0.0,0.37589216232299805,0.0,0.0
8,0.6236870288848877,0.683666467666626,0.16024679376278073,0.0,0.0,0.4735838770866394,0.0,0.0,0.0014456090284511447,0.65041184425354,0.26138123869895935,0.37589216232299805,0.0,0.0
9,0.6155490279197693,0.6815033555030823,0.14399186047640714,0.0,0.0,0.295149028301239,0.0,0.0,0.0,0.65041184425354,0.2624574303627014,0.37589216232299805,0.0,0.0
10,0.6079326272010803,0.6785789132118225,0.1557672999121926,0.0,0.0,0.1518723964691162,0.0,0.0,0.0,0.65041184425354,0.5352638959884644,0.37589216232299805,0.0,0.0
11,0.6006861329078674,0.6748948097229004,0.17206579717722806,0.0,0.0,0.2142857015132904,0.0,0.0,0.0,0.65041184425354,0.6521340608596802,0.37589216232299805,0.0,0.0
12,0.5927457213401794,0.6704546213150024,0.18531795420197092,0.0,0.0,0.37515223026275635,0.0,0.0,0.0007235890370793641,0.65041184425354,0.6363176703453064,0.37589216232299805,0.0,0.0
13,0.5848216414451599,0.6650177240371704,0.20321732285347852,0.0,0.0,0.5593401193618774,0.0,0.0,0.013644523918628693,0.65041184425354,0.6351680755615234,0.3768259882926941,0.0,0.0
14,0.5770794153213501,0.6584658026695251,0.22949648783965546,0.0,0.0,0.7124503254890442,0.0,0.0,0.1180836632847786,0.65041184425354,0.6433041095733643,0.4002114236354828,0.0,0.0
15,0.5688709020614624,0.651059091091156,0.2594220963391391,0.0,0.0,0.794136106967926,0.0,0.0,0.3036951422691345,0.65041184425354,0.6508102416992188,0.45458972454071045,0.0,0.0
16,0.5607571005821228,0.643057107925415,0.28161475723291834,0.0,0.0006937217549420893,0.8342594504356384,0.0,0.0,0.45231741666793823,0.6505725979804993,0.6549450755119324,0.5049740672111511,0.0,0.0
17,0.5524747371673584,0.6342407464981079,0.2958095687949522,0.03298969194293022,0.0020797227043658495,0.8490327000617981,0.0007558579090982676,0.0,0.5185344815254211,0.6529397368431091,0.6573287844657898,0.5402442812919617,0.0,0.0
18,0.5442842841148376,0.6240877509117126,0.326899790734222,0.28262826800346375,0.009668507613241673,0.8541592359542847,0.003773585194721818,0.0,0.5467970371246338,0.6625199317932129,0.6601042747497559,0.5762468576431274,0.0,0.0
19,0.5361276268959045,0.6123030781745911,0.3736912506547841,0.6042428612709045,0.03343568742275238,0.859707772731781,0.022429905831813812,0.0,0.5559386610984802,0.6809213757514954,0.6626346111297607,0.6912928819656372,0.0,0.0
20,0.5278908014297485,0.5989850163459778,0.40298358486457303,0.7642486691474915,0.0850498303771019,0.861911416053772,0.06013934314250946,0.0,0.5619209408760071,0.6969860792160034,0.6696764230728149,0.7328867316246033,0.0,0.0
21,0.5200188159942627,0.5853255987167358,0.4243181293660944,0.8375964164733887,0.1555199921131134,0.8716766834259033,0.13863477110862732,0.0,0.5602877736091614,0.7104918956756592,0.6774293780326843,0.715862512588501,0.0,0.0
22,0.5119819641113281,0.5720285773277283,0.44401355358687317,0.8913422226905823,0.22646154463291168,0.8906984925270081,0.2230433225631714,0.0,0.5504410862922668,0.7189868688583374,0.6810758709907532,0.7020996809005737,0.0,0.0
23,0.503363847732544,0.559398889541626,0.4607233879981901,0.9204073548316956,0.2845238149166107,0.9148698449134827,0.29684481024742126,0.0012738852528855205,0.5401402115821838,0.7265250086784363,0.6874381899833679,0.692845344543457,0.00308880303055048,0.0
24,0.49566686153411865,0.5470430850982666,0.47367079624779185,0.9392142295837402,0.32975950837135315,0.9244928359985352,0.3463582396507263,0.001273074303753674,0.5355450510978699,0.731281042098999,0.6973219513893127,0.6997336745262146,0.0053991517052054405,0.0
25,0.48810768127441406,0.5355545282363892,0.4849575392224572,0.9497247934341431,0.37450647354125977,0.9275907278060913,0.3881779611110687,0.0,0.5335724353790283,0.7353445291519165,0.707115888595581,0.7031509280204773,0.015349194407463074,0.0
26,0.48043936491012573,0.5241191983222961,0.4963380919600075,0.9524158239364624,0.43028321862220764,0.928463876247406,0.43722304701805115,0.0,0.5327103137969971,0.740081787109375,0.7143611907958984,0.7020000219345093,0.022179732099175453,0.0
